Lx_centre,phi,phi_plus_1sigma,phi_minus_1sigma,N_obs,z_tilde,Lx_mean
0.177,2.07 e-5,4.79 e-5,7.31 e-6,2.0,0.304,0.196
0.251,4.23 e-6,8.35 e-6,1.93 e-6,3.0,0.315,0.259
0.355,2.78 e-6,4.28 e-6,1.75 e-6,7.0,0.37,0.373
0.502,1.31 e-6,1.96 e-6,8.56 e-7,8.0,0.378,0.507
0.71,6.68 e-7,9.53 e-7,4.60 e-7,10.0,0.461,0.707
1.004,3.54 e-7,5.29 e-7,2.32 e-7,8.0,0.502,1.006
1.42,8.94 e-8,1.76 e-7,4.08e-08,3.0,0.5,1.455
2.008,4.42 e-8,1.02 e-7,1.56e-08,2.0,0.561,1.909
2.84,1.56 e-8,5.16 e-8,2.71 e-9,1.0,0.517,2.73
